tnum,tc,tcerr,planet
0,159.10970604114854,0.0011354791912843816,0.0
1,204.26312758683045,0.0011750651127895864,0.0
2,249.41546764931718,0.0012597500907358939,0.0
3,294.57315014815686,0.00125762272679118,0.0
4,339.7271978011713,0.0013105031049660903,0.0
5,384.8782956589241,0.0011962595074113444,0.0
6,430.0343835943891,0.0011763939490880572,0.0
8,520.343508420671,0.0011331851884389048,0.0
9,565.5015448347605,0.0012799703476506265,0.0
10,610.6582870443239,0.0011319074166316512,0.0
11,655.8133623641293,0.001235988184277179,0.0
12,700.9750273682816,0.0012540267118850196,0.0
13,746.1274123611086,0.0011727340172119933,0.0
14,791.2877463029272,0.001230634183194729,0.0
15,836.4391713487175,0.001169779810915074,0.0
16,881.5990898710421,0.001152586147612472,0.0
17,926.7536705195068,0.0012122237907335072,0.0
18,971.9066242326957,0.0013218238698531875,0.0
19,1017.0599467609552,0.0013351714252463549,0.0
20,1062.2117685196067,0.0011509696644348656,0.0
21,1107.3669453516047,0.0010532583239670319,0.0
22,1152.5207796272427,0.0009118246569205457,0.0
23,1197.6763961231752,0.0010679634692288699,0.0
24,1242.8301280783444,0.0009783925286639885,0.0
25,1287.9847455868965,0.0009521592377646848,0.0
26,1333.1419701369002,0.0010127142660812838,0.0
27,1378.298021429664,0.00105459697699872,0.0
28,1423.4541496277845,0.0009158918402857869,0.0
29,1468.6132777248552,0.0009688479190927013,0.0
30,1513.7669542014523,0.001067157348015751,0.0
51,2462.03211,0.001766,0.0
57,2732.95267,0.002947,0.0
74,3500.593436405994,0.0015133929526755,0.0
81,3816.691165323835,0.001910203633064,0.0
108,5035.876702976413,0.0011107135935538,0.0
113,5261.65944,9e-05,0.0
0,210.01184491001504,0.005801015012014492,1.0
1,295.3159886358171,0.0044435413149027094,1.0
2,380.63950831871205,0.003836428819925063,1.0
3,465.953331033305,0.003572508847948325,1.0
4,551.2621844618878,0.003825356867460124,1.0
5,636.5700707450138,0.0039013837262255034,1.0
8,892.5189640241501,0.0040958214513330165,1.0
9,977.8360017304749,0.005626255268908001,1.0
11,1148.463173947214,0.004713179754902359,1.0
12,1233.8053358113089,0.004087507520370383,1.0
13,1319.1103088422576,0.004579356288920423,1.0
15,1489.753906164305,0.004434927130880491,1.0
16,1575.0709888134052,0.004555146082924646,1.0
42,3793.2843177220784,0.0094275646964887,1.0
52,4646.485232274048,0.003617483105876,1.0
61,5414.333150000311,0.00635,1.0
0,212.02406085568546,0.0007635897645143182,2.0
1,342.2078276351033,0.0009456652485479689,2.0
2,472.39078745752414,0.0007632421084995362,2.0
3,602.5737685448526,0.0007764412608981411,2.0
5,862.932145093894,0.0007796533871595679,2.0
6,993.1043370325538,0.0007541715344283242,2.0
7,1123.2844795687097,0.0007761409767188924,2.0
8,1253.4502553489435,0.0007181010956136245,2.0
9,1383.6299713440928,0.0007731084708783886,2.0
10,1513.790211447197,0.0008849616825751986,2.0
18,2555.20049,0.00125045,2.0
21,2945.7533,0.0012313,2.0
25,3466.483332484495,0.0042622592556556,2.0
28,3857.01,0.036,2.0
31,4247.477607298177,0.003093864419402,2.0
39,5288.84728,7e-05,2.0
40,5419.020849999972,0.00125,2.0
